﻿cnpj_analisado,vendedor_responsavel,codigo_cliente,status_receita,classificacao,prioridade_geral,score_oportunidade,score_higiene,dias_inativos,score_recencia,score_porte,porte_detectado,score_afinidade,flags_qualidade,cadastro_valido,num_divergencias,divergencias_resumo,acao_recomendada,acao_administrativa,data_consulta,web_operacao_ativa,web_link_principal,web_resumo_atuacao,razao_social,nome_fantasia,natureza_juridica,porte,capital_social,data_inicio_atividade,situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,situacao_especial,data_situacao_especial,cep,logradouro,numero,complemento,bairro,municipio,uf,ddd_telefone_1,ddd_telefone_2,ddd_fax,email,cnae_fiscal,cnae_fiscal_descricao,cnaes_secundarios,opcao_pelo_simples,data_opcao_pelo_simples,data_exclusao_do_simples,opcao_pelo_mei,data_opcao_pelo_mei,data_exclusao_do_mei,ente_federativo_responsavel,qsa_socios
01.085.456/xxxx-xx,Sem Vendedor,2311,BAIXADA,🔴 DESCARTE / ARQUIVO,DESCARTE,0,40,-1,N/D,65,DEMAIS,20,DATA_ULTIMA_COMPRA_ILEGIVEL,NÃO,0,,Arquivar. Cruzar QSA: sócio pode ter reaberto em novo CNPJ.,BLOQUEAR CADASTRO — Empresa BAIXADA,2026-06-18T23:58:19.893Z,NÃO,,Segmento: Comércio varejista de artigos do vestuário e acessórios · Local: PRAIA GRANDE/SP · Sem telefone na RF · Sem e-mail na RF,S ***********************,LOJAO *************,Empresário (Individual),DEMAIS,"R$ 0,00",1996-02-28,BAIXADA,2015-02-09,73,,,11713***,,***,,JD *********,PRAIA GRANDE,SP,,,,,4781400,Comércio varejista de artigos do vestuário e acessórios,,NÃO,2007-07-01,2011-12-31,NÃO,,,,
51.687.713/xxxx-xx,Sem Vendedor,2312,ATIVA,⚪ BAIXA PRIORIDADE,BAIXA,31,85,-1,N/D,65,DEMAIS,20,DATA_ULTIMA_COMPRA_ILEGIVEL,SIM,0,,Nutrição de longo prazo. Reavaliar no próximo ciclo.,,2026-06-18T23:58:19.910Z,SIM,,Segmento: Comércio varejista de material elétrico · Local: SAO PAULO/SP · Capital: R$ 79.000.000 · Tel RF: (11) ****-3611 · Sem e-mail na RF,ELETRO ***************,BUSCARIOLI *****,Sociedade Empresária Limitada,DEMAIS,"R$ 79.000.000,00",1979-08-30,ATIVA,2005-11-03,0,,,03055***,SAO ********,***,***,BELENZINHO *****,SAO PAULO,SP,(11) ****-3611,(11) ****-7062,,,4742300,Comércio varejista de material elétrico,"4329199 - Outras obras de instalações em construções não especificadas anteriormente; 3314710 - Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente; 3313901 - Manutenção e reparação de geradores, transformadores e motores elétricos; 3321000 - Instalação de máquinas e equipamentos industriais",,,,,,,,S***** R***** B********* (Sócio-Administrador); S***** B********* (Sócio-Administrador); S****** B********* (Sócio-Administrador); S***** B********* (Sócio-Administrador)
79.887.329/xxxx-xx,Sem Vendedor,2314,ATIVA,⚪ BAIXA PRIORIDADE,BAIXA,31,65,-1,N/D,65,DEMAIS,20,SEM_DATA_ULTIMA_COMPRA,NÃO,1,municipio,Nutrição de longo prazo. Reavaliar no próximo ciclo.,,2026-06-18T23:58:20.042Z,SIM,,Segmento: Atividades de organizações sindicais · Local: FLORIANOPOLIS/SC · Tel RF: (**) ****-**** · Sem e-mail na RF,FEDERACAO **************************************************************************************************,,Entidade Sindical,DEMAIS,"R$ 0,00",1987-07-21,ATIVA,2005-11-03,0,,,88020***,OLINDINA *************,***,,CENTRO *****,FLORIANOPOLIS,SC,(**) ****-****,,,,9420100,Atividades de organizações sindicais,,,,,,,,,
61.084.679/xxxx-xx,Sem Vendedor,2316,INAPTA,🟣 INAPTA — REGULARIZÁVEL,BAIXA,12,85,-1,N/D,65,DEMAIS,50,SEM_DATA_ULTIMA_COMPRA,NÃO,0,,"Situação regularizável (RF). Gancho comercial: informar a pendência cadastral e oferecer suporte — retomar fornecimento de portfólio completo (papelaria, escritório, educacional) após regularização. Não faturar até normalização.",SUSPENDER FATURAMENTO até regularização,2026-06-18T23:58:19.900Z,NÃO,,Segmento: Comércio varejista de artigos fotográficos e para filmagem · Local: SAO PAULO/SP · Capital: R$ 1.574.250 · Tel RF: (11) ****-6420 · Sem e-mail na RF,LABORATORIO ******************************************,,Sociedade Empresária Limitada,DEMAIS,"R$ 1.574.250,00",1966-07-07,INAPTA,2022-06-09,63,,,01502***,LIBERDADE *****,***,***,LIBERDADE *****,SAO PAULO,SP,(11) ****-6420,,,,4789008,Comércio varejista de artigos fotográficos e para filmagem,,,,,,,,,A****** DE F***** (Sócio-Administrador); L********** T****** DE S*** F*********** L******* L*** (Sócio)
51.732.592/xxxx-xx,Sem Vendedor,2318,BAIXADA,🔴 DESCARTE / ARQUIVO,DESCARTE,0,85,-1,N/D,95,EPP,90,DATA_ULTIMA_COMPRA_ILEGIVEL,NÃO,0,,Arquivar. Cruzar QSA: sócio pode ter reaberto em novo CNPJ.,BLOQUEAR CADASTRO — Empresa BAIXADA,2026-06-18T23:58:19.997Z,NÃO,,Segmento: Comércio atacadista de artigos de escritório e de papelaria · Local: SAO PAULO/SP · Capital: R$ 215.000 · Tel RF: (11) ****-7500 · Sem e-mail na RF,LUMUS ***************,CASA *********,Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,"R$ 215.000,00",1979-10-09,BAIXADA,2015-08-05,1,,,03131***,SANTA *****,***,***,VILA ********,SAO PAULO,SP,(11) ****-7500,(11) ****-7501,,,4647801,Comércio atacadista de artigos de escritório e de papelaria,,,,,,,,,A****** L****** (Sócio-Administrador); N**** P******* M***** (Sócio-Administrador)
53.264.529/xxxx-xx,Sem Vendedor,2319,INAPTA,🟣 INAPTA — REGULARIZÁVEL,BAIXA,8,85,-1,N/D,65,DEMAIS,20,DATA_ULTIMA_COMPRA_ILEGIVEL,NÃO,0,,"Situação regularizável (RF). Gancho comercial: informar a pendência cadastral e oferecer suporte — retomar fornecimento de portfólio completo (papelaria, escritório, educacional) após regularização. Não faturar até normalização.",SUSPENDER FATURAMENTO até regularização,2026-06-18T23:58:20.088Z,NÃO,,Segmento: Cooperativas de crédito mútuo · Local: MAIRINQUE/SP · Tel RF: (11) ****-0895 · Sem e-mail na RF,COOPERATIVA ********************************************,,Cooperativa,DEMAIS,"R$ 0,00",1984-02-22,INAPTA,2018-09-06,63,,,18120***,ALBERTO *******,***,***,GOIANA *****,MAIRINQUE,SP,(11) ****-0895,(11) ****-2299,(11) ****-8402,,6424703,Cooperativas de crédito mútuo,6424702 - Cooperativas centrais de crédito,,,,,,,,J****** C***** S****** (Diretor); M***** A**** A***** (Diretor); R******** N******* (Presidente)
72.815.525/xxxx-xx,Sem Vendedor,2321,BAIXADA,🔴 DESCARTE / ARQUIVO,DESCARTE,0,85,-1,N/D,85,ME,70,DATA_ULTIMA_COMPRA_ILEGIVEL,NÃO,0,,Arquivar. Cruzar QSA: sócio pode ter reaberto em novo CNPJ.,BLOQUEAR CADASTRO — Empresa BAIXADA,2026-06-18T23:58:20.092Z,NÃO,,Segmento: Comercio varejista de artigos de armarinho · Local: SAO PAULO/SP · Capital: R$ 10.000 · Tel RF: (11) ****-0166 · Sem e-mail na RF,BAZAR *******,,Sociedade Empresária Limitada,MICRO EMPRESA,"R$ 10.000,00",1993-09-15,BAIXADA,2024-12-13,1,,,05109***,NILVA *****,***,,VILA *****,SAO PAULO,SP,(11) ****-0166,(11) ****-3426,(11) ****-0166,,4755502,Comercio varejista de artigos de armarinho,,NÃO,2007-07-01,2024-12-13,NÃO,,,,E***** DE S**** F******* R**** (Sócio-Administrador); L****** DE V*********** R**** (Sócio-Administrador)
05.974.651/xxxx-xx,Sem Vendedor,2322,ATIVA,🟢 OPORTUNIDADE QUENTE,ALTA,83,85,-1,N/D,95,EPP,100,DATA_ULTIMA_COMPRA_ILEGIVEL,SIM,0,,"Ligação direta nas próximas 48h. Ângulo: reposição de papelaria (cadernos, lápis, canetas). Sem histórico de compra registrado.",,2026-06-18T23:58:20.187Z,SIM,,Segmento: Comércio varejista de artigos de papelaria · Local: RIO DE JANEIRO/RJ · Tel RF: (21) ****-3743 · Sem e-mail na RF,PAPELARIA ***************,,Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,"R$ 0,00",2003-09-23,ATIVA,2004-08-07,0,,,22251***,BAMBINA *****,***,***,BOTAFOGO *****,RIO DE JANEIRO,RJ,(21) ****-3743,,(02) ****-3743,,4761003,Comércio varejista de artigos de papelaria,"1822901 - Serviços de encadernação e plastificação; 4713002 - Lojas de variedades, exceto lojas de departamentos ou magazines; 4755502 - Comercio varejista de artigos de armarinho; 4763601 - Comércio varejista de brinquedos e artigos recreativos; 8219901 - Fotocópias",SIM,2007-07-01,,NÃO,,,,A***** M**** L**** L****** (Sócio); G******** L**** L****** (Sócio-Administrador)
04.009.548/xxxx-xx,Sem Vendedor,2323,ATIVA,🟡 POTENCIAL MODERADO,MEDIA,35,40,-1,N/D,40,MEI,42,DATA_ULTIMA_COMPRA_ILEGIVEL,SIM,0,,"Cadência de e-mail 30/60/90 dias. Tema: portfólio completo (papelaria, escritório, educacional). [Higienizar cadastro antes do contato]",,2026-06-18T23:58:20.116Z,SIM,,Segmento: Comércio varejista de artigos do vestuário e acessórios · Local: DEODAPOLIS/MS · Capital: R$ 15.000 · Sem telefone na RF · Sem e-mail na RF,04.009.548 *************************,,Empresário (Individual),MICRO EMPRESA,"R$ 15.000,00",2000-08-25,ATIVA,2001-11-10,0,,,79790***,,***,,CENTRO *****,DEODAPOLIS,MS,,,,,4781400,Comércio varejista de artigos do vestuário e acessórios,"4789099 - Comércio varejista de outros produtos não especificados anteriormente; 4789001 - Comércio varejista de suvenires, bijuterias e artesanatos; 4759899 - Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente; 4755502 - Comercio varejista de artigos de armarinho; 4755503 - Comercio varejista de artigos de cama, mesa e banho; 4772500 - Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal; 4782201 - Comércio varejista de calçados",SIM,2007-07-01,,SIM,2014-01-01,,,
96.278.510/xxxx-xx,Sem Vendedor,2324,ATIVA,🔵 POTENCIAL ALTO,MEDIA,62,75,-1,N/D,95,EPP,60,DATA_ULTIMA_COMPRA_ILEGIVEL,NÃO,1,municipio,"SDR: WhatsApp + catálogo digital. Destaque: portfólio completo (papelaria, escritório, educacional). Sem histórico de compra registrado.",,2026-06-18T23:58:20.131Z,SIM,,"Segmento: Serviços de acabamentos gráficos, exceto encadernação e plastificação · Local: SAO BERNARDO DO CAMPO/SP · Capital: R$ 160.000 · Tel RF: (11) ****-2860 · Sem e-mail na RF",FABRICOLOR **********************,,Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,"R$ 160.000,00",1993-02-26,ATIVA,2005-11-03,0,,,09725***,JURUBATUBA *****,***,,CENTRO *****,SAO BERNARDO DO CAMPO,SP,(11) ****-2860,,,,1822999,"Serviços de acabamentos gráficos, exceto encadernação e plastificação",,NÃO,2013-01-01,2018-12-31,NÃO,,,,M***** T***** P******* G******** (Sócio-Administrador)
