﻿cnpj_analisado,vendedor_responsavel,codigo_cliente,status_receita,classificacao,prioridade_geral,score_oportunidade,score_higiene,dias_inativos,score_recencia,score_porte,porte_detectado,score_afinidade,flags_qualidade,cadastro_valido,num_divergencias,divergencias_resumo,acao_recomendada,acao_administrativa,data_consulta,web_operacao_ativa,web_link_principal,web_resumo_atuacao,razao_social,nome_fantasia,natureza_juridica,porte,capital_social,data_inicio_atividade,situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,situacao_especial,data_situacao_especial,cep,logradouro,numero,complemento,bairro,municipio,uf,ddd_telefone_1,ddd_telefone_2,ddd_fax,email,cnae_fiscal,cnae_fiscal_descricao,cnaes_secundarios,opcao_pelo_simples,data_opcao_pelo_simples,data_exclusao_do_simples,opcao_pelo_mei,data_opcao_pelo_mei,data_exclusao_do_mei,ente_federativo_responsavel,qsa_socios
64.992.571/xxxx-xx,Sem Vendedor,4851,INAPTA,🟣 INAPTA — REGULARIZÁVEL,BAIXA,13,30,-1,N/D,85,ME,50,DATA_ULTIMA_COMPRA_ILEGIVEL,NÃO,1,razao_social,"Situação regularizável (RF). Gancho comercial: informar a pendência cadastral e oferecer suporte — retomar fornecimento de portfólio completo (papelaria, escritório, educacional) após regularização. Não faturar até normalização.",SUSPENDER FATURAMENTO até regularização,2026-06-18T23:47:36.217Z,NÃO,,"Segmento: Lojas de variedades, exceto lojas de departamentos ou magazines · Local: GUARULHOS/SP · Sem telefone na RF · Sem e-mail na RF",SONIA **************,CLAUMIR *****************,Empresário (Individual),MICRO EMPRESA,"R$ 0,00",1990-12-12,INAPTA,2024-08-30,63,,,07022***,,***,,GOPOUVA *****,GUARULHOS,SP,,,,,4713002,"Lojas de variedades, exceto lojas de departamentos ou magazines",,SIM,2007-07-01,,NÃO,,,,
05.933.280/xxxx-xx,Sem Vendedor,4855,INAPTA,🟣 INAPTA — REGULARIZÁVEL,BAIXA,12,30,-1,N/D,65,DEMAIS,55,DATA_ULTIMA_COMPRA_ILEGIVEL,NÃO,1,razao_social,"Situação regularizável (RF). Gancho comercial: informar a pendência cadastral e oferecer suporte — retomar fornecimento de portfólio completo (papelaria, escritório, educacional) após regularização. Não faturar até normalização.",SUSPENDER FATURAMENTO até regularização,2026-06-18T23:47:36.217Z,NÃO,,Segmento: Comércio varejista de brinquedos e artigos recreativos · Local: BIRIGUI/SP · Sem telefone na RF · Sem e-mail na RF,L. *******************************,L *****************************,Empresário (Individual),DEMAIS,"R$ 0,00",2003-09-30,INAPTA,2021-03-10,63,,,16203***,,***,,NUCLEO ****************,BIRIGUI,SP,,,,,4763601,Comércio varejista de brinquedos e artigos recreativos,"4759899 - Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente; 4789001 - Comércio varejista de suvenires, bijuterias e artesanatos",SIM,2007-07-01,,NÃO,,,,
53.528.899/xxxx-xx,Sem Vendedor,4856,ATIVA,🟡 POTENCIAL MODERADO,MEDIA,40,75,-1,N/D,95,EPP,20,DATA_ULTIMA_COMPRA_ILEGIVEL,NÃO,1,razao_social,"Cadência de e-mail 30/60/90 dias. Tema: portfólio completo (papelaria, escritório, educacional).",,2026-06-18T23:47:36.217Z,SIM,,Segmento: Holdings de instituições não-financeiras · Local: SANTO ANDRE/SP · Capital: R$ 10.000 · Tel RF: (11) ****-4322 · Sem e-mail na RF,STIKTEX *********************************,STIKTEX *****,Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,"R$ 10.000,00",1984-05-28,ATIVA,2003-11-15,0,,,09041***,EDU ******,***,***,VILA ******,SANTO ANDRE,SP,(11) ****-4322,,(11) ****-4322,,6462000,Holdings de instituições não-financeiras,6810201 - Compra e venda de imóveis próprios; 6810202 - Aluguel de imóveis próprios,NÃO,2012-01-01,2020-11-30,NÃO,,,,J**** A******** (Sócio-Administrador); V***** L**** A******** (Sócio-Administrador)
07.097.002/xxxx-xx,Sem Vendedor,4857,SUSPENSA,🟠 SUSPENSA — MONITORAR,BAIXA,32,30,-1,N/D,85,ME,100,DATA_ULTIMA_COMPRA_ILEGIVEL,NÃO,1,razao_social,Não abordar. Monitorar retorno à situação ATIVA.,SUSPENDER FATURAMENTO até regularização,2026-06-18T23:47:36.217Z,NÃO,,Segmento: Comércio varejista de artigos de papelaria · Local: OSASCO/SP · Sem telefone na RF · Sem e-mail na RF,MARTHA ******************,MUNDO *****,Empresário (Individual),MICRO EMPRESA,"R$ 0,00",2004-10-07,SUSPENSA,2013-05-02,21,,,06240***,,***,,JD.MUNHOZ ******,OSASCO,SP,,,,,4761003,Comércio varejista de artigos de papelaria,,SIM,2007-07-01,,NÃO,,,,
07.516.006/xxxx-xx,Sem Vendedor,4858,BAIXADA,🔴 DESCARTE / ARQUIVO,DESCARTE,0,30,-1,N/D,85,ME,100,DATA_ULTIMA_COMPRA_ILEGIVEL,NÃO,1,razao_social,Arquivar. Cruzar QSA: sócio pode ter reaberto em novo CNPJ.,BLOQUEAR CADASTRO — Empresa BAIXADA,2026-06-18T23:47:36.217Z,NÃO,,Segmento: Comércio varejista de artigos de papelaria · Local: PERUIBE/SP · Sem telefone na RF · Sem e-mail na RF,MARIANE ************,PAPELARIA ********,Empresário (Individual),MICRO EMPRESA,"R$ 0,00",2005-07-01,BAIXADA,2017-01-30,1,,,11750***,,***,,CENTRO *****,PERUIBE,SP,,,,,4761003,Comércio varejista de artigos de papelaria,"4755501 - Comércio varejista de tecidos; 4755502 - Comercio varejista de artigos de armarinho; 4755503 - Comercio varejista de artigos de cama, mesa e banho; 4782202 - Comércio varejista de artigos de viagem; 4754701 - Comércio varejista de móveis; 4789007 - Comércio varejista de equipamentos para escritório; 4751201 - Comércio varejista especializado de equipamentos e suprimentos de informática; 4752100 - Comércio varejista especializado de equipamentos de telefonia e comunicação; 4763602 - Comércio varejista de artigos esportivos; 4763601 - Comércio varejista de brinquedos e artigos recreativos; 4753900 - Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo",NÃO,2007-07-01,2017-01-30,NÃO,,,,
71.804.678/xxxx-xx,Sem Vendedor,4860,INAPTA,🟣 INAPTA — REGULARIZÁVEL,BAIXA,12,30,-1,N/D,85,ME,40,DATA_ULTIMA_COMPRA_ILEGIVEL,NÃO,1,razao_social,"Situação regularizável (RF). Gancho comercial: informar a pendência cadastral e oferecer suporte — retomar fornecimento de portfólio completo (papelaria, escritório, educacional) após regularização. Não faturar até normalização.",SUSPENDER FATURAMENTO até regularização,2026-06-18T23:47:36.217Z,NÃO,,"Segmento: Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns · Local: BRAGANCA PAULISTA/SP · Sem telefone na RF · Sem e-mail na RF",ARTHUR **********************,,Empresário (Individual),MICRO EMPRESA,"R$ 0,00",1993-07-05,INAPTA,2019-03-21,63,,,12900***,,***,,MORRO *********,BRAGANCA PAULISTA,SP,,,,,4712100,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",4784900 - Comércio varejista de gás liqüefeito de petróleo (GLP),NÃO,2009-01-01,2016-12-31,NÃO,,,,
05.644.822/xxxx-xx,Sem Vendedor,4861,ATIVA,🟡 POTENCIAL MODERADO,MEDIA,37,65,-1,N/D,85,ME,20,DATA_ULTIMA_COMPRA_ILEGIVEL,NÃO,2,razao_social; municipio,"Cadência de e-mail 30/60/90 dias. Tema: portfólio completo (papelaria, escritório, educacional).",,2026-06-18T23:47:36.217Z,SIM,,Segmento: Corretagem no aluguel de imóveis · Local: SAO JOSE DOS CAMPOS/SP · Capital: R$ 5.000 · Tel RF: (12) ****-0877 · Sem e-mail na RF,AURORA *********************,AURORA ****************,Sociedade Empresária Limitada,MICRO EMPRESA,"R$ 5.000,00",2003-05-06,ATIVA,,0,,,12243***,SERIMBURA *****,***,***,VILA **********,SAO JOSE DOS CAMPOS,SP,(12) ****-0877,,,,6821802,Corretagem no aluguel de imóveis,4330499 - Outras obras de acabamento da construção; 6821801 - Corretagem na compra e venda e avaliação de imóveis,SIM,2015-01-01,,NÃO,,,,C******* T***** DE A****** (Sócio-Administrador)
00.134.518/xxxx-xx,Sem Vendedor,4862,BAIXADA,🔴 DESCARTE / ARQUIVO,DESCARTE,0,65,-1,N/D,85,ME,20,DATA_ULTIMA_COMPRA_ILEGIVEL,NÃO,0,,Arquivar. Cruzar QSA: sócio pode ter reaberto em novo CNPJ.,BLOQUEAR CADASTRO — Empresa BAIXADA,2026-06-18T23:47:36.217Z,NÃO,,Segmento: Exploração de máquinas de serviços pessoais acionadas por moeda · Local: SAO PAULO/SP · Capital: R$ 10.000 · Sem telefone na RF · Sem e-mail na RF,STUDIO *******************,STUDIO **********,Sociedade Simples Limitada,MICRO EMPRESA,"R$ 10.000,00",1994-07-18,BAIXADA,2016-10-26,1,,,03962***,PERO **********,***,,SAO ******,SAO PAULO,SP,,,,,9609204,Exploração de máquinas de serviços pessoais acionadas por moeda,,NÃO,2007-07-01,2016-10-26,NÃO,,,,C***** F******** L**** (Sócio-Administrador); M***** L**** (Sócio)
51.909.356/xxxx-xx,Sem Vendedor,4864,ATIVA,⚪ BAIXA PRIORIDADE,BAIXA,31,45,-1,N/D,65,DEMAIS,20,DATA_ULTIMA_COMPRA_ILEGIVEL,NÃO,1,razao_social,Nutrição de longo prazo. Reavaliar no próximo ciclo. [Higienizar cadastro antes do contato],,2026-06-18T23:47:36.218Z,SIM,,Segmento: Atividades de organizações sindicais · Local: CAMPINAS/SP · Sem telefone na RF · Sem e-mail na RF,SINDICATO *******************************************,,Entidade Sindical,DEMAIS,"R$ 0,00",1982-04-22,ATIVA,2018-12-20,0,,,13010***,BERNARDINO *********,***,,CENTRO *****,CAMPINAS,SP,,,,,9420100,Atividades de organizações sindicais,,,,,,,,,
00.613.579/xxxx-xx,Sem Vendedor,4865,BAIXADA,🔴 DESCARTE / ARQUIVO,DESCARTE,0,30,-1,N/D,85,ME,50,DATA_ULTIMA_COMPRA_ILEGIVEL,NÃO,1,razao_social,Arquivar. Cruzar QSA: sócio pode ter reaberto em novo CNPJ.,BLOQUEAR CADASTRO — Empresa BAIXADA,2026-06-18T23:47:36.218Z,NÃO,,"Segmento: Lojas de departamentos ou magazines, exceto lojas francas (Duty free) · Local: CACAPAVA/SP · Sem telefone na RF · Sem e-mail na RF",ANDRE ************************,,Empresário (Individual),MICRO EMPRESA,"R$ 0,00",1995-05-16,BAIXADA,2011-01-21,1,,,12281***,,***,,CENTRO *****,CACAPAVA,SP,,,,,4713004,"Lojas de departamentos ou magazines, exceto lojas francas (Duty free)",,,,,,,,,
